n,length,persona,seed,variant,winner,reason,days,nights,hull_left,scurvy_started,scurvy_cleared,attacks,rule_fallbacks,empty_ship_stalemate,identity_discards,relocation_rollbacks
6,normal,kaotik,7693237869317284288,B,hain,scurvy,6,5,1,1,0,2,0,0,0,0
6,normal,kaotik,15429042459018646374,A,hain,sunk,6,5,0,1,1,2,0,0,0,0
6,normal,kaotik,15429042459018646374,B,hain,sunk,5,4,0,1,1,2,0,0,0,0
6,normal,kaotik,12321073603956799668,A,hain,sunk,6,5,0,1,1,1,0,0,0,0
6,normal,kaotik,12321073603956799668,B,hain,sunk,4,3,0,1,1,0,0,0,0,0
6,long,temkinli,10510776934011799713,A,crew,port,7,7,1,1,1,4,0,0,0,0
6,long,temkinli,10510776934011799713,B,hain,crew_extinct,5,5,2,1,1,4,0,0,0,0
6,long,temkinli,16006665810786577656,A,hain,sunk,4,3,0,1,1,0,0,0,0,0
6,long,temkinli,16006665810786577656,B,hain,crew_extinct,6,6,1,1,1,5,0,0,0,0
6,long,temkinli,11456636536024896087,A,hain,sunk,7,6,0,1,0,1,7,0,0,0
6,long,temkinli,11456636536024896087,B,hain,sunk,7,6,0,1,0,1,7,0,0,0
6,long,temkinli,16223267632615504770,A,crew,port,7,7,1,1,1,3,0,0,0,0
6,long,temkinli,16223267632615504770,B,hain,sunk,5,4,0,1,1,0,0,0,0,0
6,long,temkinli,14748891990801739474,A,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,long,temkinli,14748891990801739474,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,long,temkinli,15635106275633705428,A,hain,sunk,5,4,0,1,1,2,0,0,0,0
6,long,temkinli,15635106275633705428,B,hain,sunk,6,5,0,1,1,2,0,0,0,0
6,long,temkinli,4125683459376990339,A,hain,crew_extinct,6,6,2,1,1,4,0,0,0,0
6,long,temkinli,4125683459376990339,B,hain,crew_extinct,6,6,2,1,1,4,0,0,0,0
6,long,temkinli,15656564787170673210,A,crew,port,7,7,2,1,1,4,0,0,0,0
6,long,temkinli,15656564787170673210,B,crew,port,8,8,1,1,1,1,0,0,0,0
6,long,temkinli,3576902437753794997,A,hain,sunk,5,4,0,0,0,1,0,0,0,0
6,long,temkinli,3576902437753794997,B,hain,sunk,5,4,0,0,0,0,0,0,0,0
6,long,temkinli,15495631792181238670,A,crew,port,7,7,1,1,1,2,0,0,0,0
6,long,temkinli,15495631792181238670,B,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,long,temkinli,780634147883459893,A,hain,sunk,4,3,0,0,0,1,0,0,0,0
6,long,temkinli,780634147883459893,B,hain,sunk,4,3,0,0,0,1,0,0,0,0
6,long,temkinli,15207848662201446890,A,crew,port,7,7,2,1,1,0,0,0,0,0
6,long,temkinli,15207848662201446890,B,crew,port,7,7,2,1,1,0,0,0,0,0
6,long,temkinli,13585324942176976901,A,crew,port,7,7,1,1,1,0,0,0,0,0
6,long,temkinli,13585324942176976901,B,crew,port,7,7,1,1,1,0,0,0,0,0
6,long,temkinli,247120945600886740,A,hain,sunk,6,5,0,1,1,1,0,0,0,0
6,long,temkinli,247120945600886740,B,hain,sunk,6,5,0,1,1,1,0,0,0,0
6,long,temkinli,3921604133960219892,A,crew,port,6,6,2,0,0,1,0,0,0,0
6,long,temkinli,3921604133960219892,B,crew,port,8,8,2,0,0,2,0,0,0,0
6,long,temkinli,12806424160636470705,A,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,long,temkinli,12806424160636470705,B,hain,sunk,5,4,0,1,0,2,0,0,0,0
6,long,temkinli,6897581351761860230,A,hain,sunk,7,6,0,1,1,0,0,0,0,0
6,long,temkinli,6897581351761860230,B,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,long,temkinli,14384429224722143058,A,crew,port,7,7,1,1,1,1,0,0,0,0
6,long,temkinli,14384429224722143058,B,hain,sunk,4,3,0,1,1,0,0,0,0,0
6,long,temkinli,2535401246098861374,A,hain,sunk,6,5,0,0,0,1,0,0,0,0
6,long,temkinli,2535401246098861374,B,hain,sunk,6,5,0,0,0,1,0,0,0,0
6,long,temkinli,7725810400836832808,A,hain,sunk,5,4,0,1,1,2,0,0,0,0
6,long,temkinli,7725810400836832808,B,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,long,dengeli,944846744288257321,A,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,long,dengeli,944846744288257321,B,hain,sunk,4,3,0,1,1,0,0,0,0,0
6,long,dengeli,16424472159184444181,A,crew,port,7,7,1,1,1,4,0,0,0,0
6,long,dengeli,16424472159184444181,B,hain,crew_extinct,7,7,1,1,1,5,0,0,0,0
6,long,dengeli,15990490171400282355,A,hain,sunk,7,6,0,1,1,3,7,0,0,0
6,long,dengeli,15990490171400282355,B,hain,sunk,7,6,0,1,1,3,7,0,0,0
6,long,dengeli,15802592291649963636,A,hain,crew_extinct,6,6,2,1,1,5,0,0,0,0
6,long,dengeli,15802592291649963636,B,hain,crew_extinct,6,6,2,1,1,5,0,0,0,0
6,long,dengeli,5703728383864607656,A,crew,port,7,7,1,1,1,5,0,0,0,0
6,long,dengeli,5703728383864607656,B,crew,port,6,6,2,1,1,2,0,0,0,0
6,long,dengeli,9366705360088214216,A,crew,port,6,6,2,1,1,3,0,0,0,0
6,long,dengeli,9366705360088214216,B,crew,port,6,6,2,1,1,3,0,0,0,0
6,long,dengeli,6035642366812815695,A,crew,port,7,7,1,1,1,3,0,0,0,0
6,long,dengeli,6035642366812815695,B,crew,port,7,7,1,1,1,3,0,0,0,0
6,long,dengeli,14266776672047397712,A,crew,port,7,7,1,0,0,3,0,0,0,0
6,long,dengeli,14266776672047397712,B,crew,port,7,7,1,0,0,3,0,0,0,0
6,long,dengeli,3725751539131043822,A,crew,port,8,8,2,1,1,3,0,0,0,0
